date,type,site,number
2006-2009,black_friday,www.fnac.pt,1
2006-2009,cyber_monday,www.fnac.pt,0
2010-2013,black_friday,www.fnac.pt,1
2010-2013,cyber_monday,www.fnac.pt,0
2014-2015,black_friday,www.fnac.pt,1
2014-2015,cyber_monday,www.fnac.pt,0
2016-2017,black_friday,www.fnac.pt,0
2016-2017,cyber_monday,www.fnac.pt,34
2018-2019,black_friday,www.fnac.pt,28400
2018-2019,cyber_monday,www.fnac.pt,28400
2020-2021,black_friday,www.fnac.pt,53925
2020-2021,cyber_monday,www.fnac.pt,53924
2021-2024,black_friday,www.fnac.pt,4192
2021-2024,cyber_monday,www.fnac.pt,4192
2006-2009,black_friday,www.worten.pt,0
2006-2009,cyber_monday,www.worten.pt,0
2010-2013,black_friday,www.worten.pt,0
2010-2013,cyber_monday,www.worten.pt,0
2014-2015,black_friday,www.worten.pt,0
2014-2015,cyber_monday,www.worten.pt,0
2016-2017,black_friday,www.worten.pt,0
2016-2017,cyber_monday,www.worten.pt,0
2018-2019,black_friday,www.worten.pt,9119
2018-2019,cyber_monday,www.worten.pt,53
2020-2021,black_friday,www.worten.pt,28061
2020-2021,cyber_monday,www.worten.pt,2753
2021-2024,black_friday,www.worten.pt,1816
2021-2024,cyber_monday,www.worten.pt,1816
2006-2009,black_friday,www.elcorteingles.pt,0
2006-2009,cyber_monday,www.elcorteingles.pt,0
2010-2013,black_friday,www.elcorteingles.pt,1
2010-2013,cyber_monday,www.elcorteingles.pt,0
2014-2015,black_friday,www.elcorteingles.pt,0
2014-2015,cyber_monday,www.elcorteingles.pt,2
2016-2017,black_friday,www.elcorteingles.pt,0
2016-2017,cyber_monday,www.elcorteingles.pt,3
2018-2019,black_friday,www.elcorteingles.pt,3
2018-2019,cyber_monday,www.elcorteingles.pt,2
2020-2021,black_friday,www.elcorteingles.pt,3
2020-2021,cyber_monday,www.elcorteingles.pt,0
2021-2024,black_friday,www.elcorteingles.pt,0
2021-2024,cyber_monday,www.elcorteingles.pt,0
2006-2009,black_friday,www.radiopopular.pt,0
2006-2009,cyber_monday,www.radiopopular.pt,0
2010-2013,black_friday,www.radiopopular.pt,0
2010-2013,cyber_monday,www.radiopopular.pt,0
2014-2015,black_friday,www.radiopopular.pt,0
2014-2015,cyber_monday,www.radiopopular.pt,0
2016-2017,black_friday,www.radiopopular.pt,0
2016-2017,cyber_monday,www.radiopopular.pt,0
2018-2019,black_friday,www.radiopopular.pt,13
2018-2019,cyber_monday,www.radiopopular.pt,1
2020-2021,black_friday,www.radiopopular.pt,1055
2020-2021,cyber_monday,www.radiopopular.pt,1
2021-2024,black_friday,www.radiopopular.pt,578
2021-2024,cyber_monday,www.radiopopular.pt,0
2006-2009,black_friday,www.staples.pt,0
2006-2009,cyber_monday,www.staples.pt,0
2010-2013,black_friday,www.staples.pt,0
2010-2013,cyber_monday,www.staples.pt,0
2014-2015,black_friday,www.staples.pt,0
2014-2015,cyber_monday,www.staples.pt,0
2016-2017,black_friday,www.staples.pt,0
2016-2017,cyber_monday,www.staples.pt,0
2018-2019,black_friday,www.staples.pt,0
2018-2019,cyber_monday,www.staples.pt,0
2020-2021,black_friday,www.staples.pt,1
2020-2021,cyber_monday,www.staples.pt,0
2021-2024,black_friday,www.staples.pt,0
2021-2024,cyber_monday,www.staples.pt,0
2006-2009,black_friday,www.pcdiga.com,0
2006-2009,cyber_monday,www.pcdiga.com,0
2010-2013,black_friday,www.pcdiga.com,0
2010-2013,cyber_monday,www.pcdiga.com,0
2014-2015,black_friday,www.pcdiga.com,0
2014-2015,cyber_monday,www.pcdiga.com,0
2016-2017,black_friday,www.pcdiga.com,1
2016-2017,cyber_monday,www.pcdiga.com,0
2018-2019,black_friday,www.pcdiga.com,2
2018-2019,cyber_monday,www.pcdiga.com,0
2020-2021,black_friday,www.pcdiga.com,23
2020-2021,cyber_monday,www.pcdiga.com,0
2021-2024,black_friday,www.pcdiga.com,6
2021-2024,cyber_monday,www.pcdiga.com,0
