ano,link,site,numero_categorias,lista_categorias,dicionario_subcategorias
2007,https://arquivo.pt/wayback/20070611190104mp_/http://www.worten.pt/Splash.aspx,www.worten.pt,7,"['Audiovisual', 'Electrodomesticos', 'Informática', 'Fotografia', 'Música e Filmes', 'Comunicação', 'Jogos e Concolas']","{'Audiovisual': [], 'Electrodomesticos': [], 'Informática': [], 'Fotografia': [], 'Música e Filmes': [], 'Comunicação': [], 'Jogos e Concolas': []}"
2010,https://arquivo.pt/wayback/20100803143044mp_/http://www.worten.pt/default.aspx,www.worten.pt,7,"['Audiovisuais', 'Electrodomésticos', 'Informática', 'Fotografia', 'Musica e Filmes', 'Comunicações', 'Jogos e Consoles']","{'Audiovisuais': ['TV', 'Blu-ray', 'Home Cinema', 'DVD', 'Sistemas Audio', 'Alta Fidelidade', 'Auriculares / Auscultadores', 'Leitores MP3 e Multimédia', 'Car Multimédia', 'Navegação / GPS', 'Acessórios', 'Móveis', 'TDT', 'Serviços'], 'Electrodomésticos': ['Climatização Da Água', 'Máquinas Roupa', 'Máquinas Lavar Loiça', 'Fogões', 'Frio', 'Exaustores / Extractores', 'Encastre', 'Ar Condicionados', 'Máquinas Café', 'Micro Ondas', 'Peq. Elec. Cozinha', 'Limpeza Pavimentos', 'Tratamento Tecidos', 'Cuidados Pessoais', 'Tratamento Ambiente', 'Acessórios', 'Serviços'], 'Informática': ['Computadores', 'Impressoras', 'Monitores', 'Projectores', 'E-Books', 'Periféricos / Componentes', 'Acesso à Internet', 'Redes', 'Armazenamento Dados', 'Consumíveis', 'Acessórios', 'Software', 'Serviços'], 'Fotografia': ['Molduras Digitais', 'Máq.Fotográficas', 'Câmaras Vídeo', 'Objectivas', 'Cartões Memória', 'Rolos Fotográficos', 'Acessórios', 'Consumíveis', 'Pilhas e Carregadores', 'Serviços'], 'Musica e Filmes': ['Música', 'Filmes', 'Experiências', 'Merchandising'], 'Comunicações': ['Optimus', 'TMN', 'Vodafone', 'Zon', 'Livres', 'Acessórios', 'Comunicação Fixa', 'Walkie Talkies', 'Serviços'], 'Jogos e Consoles': ['Pré-Lançamentos', 'Consolas', 'Jogos Consola', 'Jogos PC / Mac', 'Acessórios', 'Top']}"
2015,https://arquivo.pt/wayback/20151125065825mp_/http://www.worten.pt/,www.worten.pt,9,"['Grandes Eletrodomésticos', 'Pequenos Eletrodomésticos', 'Imagem e Som', 'Informática', 'Fotografia', 'Música e Filmes', 'Worten Mobile', 'Worten Gamer', 'Serviços']","{'Grandes Eletrodomésticos': ['Máquinas de Roupa', 'Máquinas de Loiça', 'Frigoríficos e Arcas', 'Encastre', 'Fogões', 'Climatização de Ar', 'Aquecimento de Água'], 'Pequenos Eletrodomésticos': ['Cuidado Pessoal', 'Preparação de Alimentos', 'Limpeza de Pavimentos', 'Tratamento Roupa', 'Pequeno Almoço', 'Máquinas de Café', 'Saúde'], 'Imagem e Som': ['TV', 'Vídeo', 'Home Audio', 'Audio Portátil', 'Vida Ativa', 'Car Áudio & GPS', 'Acessórios e Serviços'], 'Informática': ['Computadores', 'Tablets', 'Impressão e Escritório', 'Armazenamento', 'Gaming PC', 'Redes e Componentes', 'Acessórios e Serviços'], 'Fotografia': ['Máquinas Fotográficas', 'Objetivas e Flashes', 'Câmaras de Vídeo', 'Pilhas e Acessórios'], 'Música e Filmes': ['Espaço Infantil', 'Música', 'Filmes', 'Séries TV'], 'Worten Mobile': ['Smartphones', 'Telemóveis', 'Acessórios', 'Wearables', 'TV + Net + Voz', 'Rede Fixa'], 'Worten Gamer': ['Jogos', 'Consolas', 'Reservas e Usados', 'Acessórios e Serviços', 'Cartões de Descarga'], 'Serviços': ['Serviços']}"
2020,https://arquivo.pt/wayback/20201231184214mp_/http://www.worten.pt/,www.worten.pt,15,"['Grandes Eletrodomésticos', 'Pequenos Eletrodomésticos', 'Beleza, Saúde e Bebé', 'TV, Vídeo e Som', 'Telemóveis e Pacotes de TV', 'Smarthome, Redes e Componentes', 'Informática e Acessórios', 'Gaming', 'Jogos e Brinquedos', 'Fotografia e Drones', 'Desporto, Mobilidade e Outdoor', 'Livros, Música e Filmes', 'Escritório e Papelaria', 'Casa e Decoração', 'Bricolage, Jardim e Animais']","{'Grandes Eletrodomésticos': ['máquinas de roupa', 'máquinas de loiça', 'fogões', 'frigoríficos', 'encastre', 'arcas e caves de vinho', 'climatização', 'aquecimento', 'aquecimento de água', 'cozinhas', 'eletricidade + gás natural', 'ar condicionado', 'outlet'], 'Pequenos Eletrodomésticos': ['micro-ondas e mini fornos', 'máquinas de café', 'funcooking', 'preparação de alimentos', 'pequeno almoço', 'aspiradores', 'máquinas de limpeza', 'tratamento de roupa', 'outlet'], 'Beleza, Saúde e Bebé': ['cuidado feminino', 'cabelo', 'cuidado masculino', 'higiene oral', 'bebé', 'perfumaria e cosmética', 'saúde e bem-estar'], 'TV, Vídeo e Som': ['tvs', 'projeção de imagem', 'acessórios tv', 'home audio', 'som portátil', 'alta fidelidade', 'vídeo', 'tv + net + voz + móvel', 'cartões de descarga', 'outlet'], 'Telemóveis e Pacotes de TV': ['telemóveis e smartphones', 'telemóveis recondicionados', 'tv + net + voz + móvel', 'smartwatches', 'acessórios de telemóvel', 'acessórios som', 'telefones fixos', 'internet móvel', 'outlet'], 'Smarthome, Redes e Componentes': ['smarthome', 'redes', 'componentes', 'armazenamento de dados'], 'Informática e Acessórios': ['computadores', 'impressão', 'monitores', 'apple', 'tablets', 'gaming pc', 'microsoft surface', 'armazenamento de dados', 'software pc e segurança', 'outlet', 'acessórios pc', 'acessórios tablets'], 'Gaming': ['playstation', 'nintendo switch', 'xbox', 'nintendo ds', 'gaming pc', 'acessórios gaming pc', 'mais plataformas', 'consolas e jogos usados', 'consolas retro', 'figuras'], 'Jogos e Brinquedos': ['universo brinquedos', 'bonecos e bonecas', 'brinquedos bebé', 'jogos e puzzles', 'mobilidade infantil', 'tecnologia infantil', 'brinquedos telecomandados', 'educativos e criativos', 'festas', 'merchandising'], 'Fotografia e Drones': ['máquinas fotográficas', 'drones', 'baterias e alimentação', 'objetivas', 'flashes', 'vídeo', 'cartões de memória', 'acessórios fotografia', 'iluminação e estúdio', 'observação', 'tripés e estabilizadores', 'impressão de fotografia', 'serviços fotográficos'], 'Desporto, Mobilidade e Outdoor': ['mobilidade', 'tecnologia desportiva', 'musculação e fitness', 'desporto', 'campismo', 'auto', 'viagens', 'experiências'], 'Livros, Música e Filmes': ['livros em português', 'livros estrangeiros', 'livros apoio escolar', 'e-reader e acessórios', 'música', 'instrumentos musicais', 'filmes e séries', 'bilheteira'], 'Escritório e Papelaria': ['mobiliário de escritório', 'equipamentos de escritório', 'pos', 'papelaria', 'material de escrita', 'material de escritório', 'livros e apoio escolar', 'tecnologia', 'material de apresentações'], 'Casa e Decoração': ['sala', 'quarto', 'casa de banho / wc', 'cozinha', 'iluminação', 'decor e arrumos', 'eletricidade + gás natural'], 'Bricolage, Jardim e Animais': ['ferramentas', 'construção e carpintaria', 'jardim', 'grelhadores e barbecue', 'mobiliário exterior', 'animais de estimação']}"
2023,https://arquivo.pt/wayback/20230123170609mp_/http://www.worten.pt/,www.worten.pt,15,"['Grandes Eletrodomésticos', 'Pequenos Eletrodomésticos', 'Beleza, Moda, Saúde e Bebé', 'TV, Vídeo e Som', 'Telemóveis e Pacotes de TV', 'Smarthome, Redes e Componentes', 'Informática e Acessórios', 'Gaming, Jogos e Brinquedos', 'Livros, Música e Filmes', 'Fotografia, Vídeo e Drones', 'Desporto, Mobilidade e Outdoor', 'Escritório e Papelaria', 'Casa e Decoração', 'Bricolage, Jardim e Animais', 'Dott']","{'Grandes Eletrodomésticos': [], 'Pequenos Eletrodomésticos': [], 'Beleza, Moda, Saúde e Bebé': [], 'TV, Vídeo e Som': [], 'Telemóveis e Pacotes de TV': [], 'Smarthome, Redes e Componentes': [], 'Informática e Acessórios': [], 'Gaming, Jogos e Brinquedos': [], 'Livros, Música e Filmes': [], 'Fotografia, Vídeo e Drones': [], 'Desporto, Mobilidade e Outdoor': [], 'Escritório e Papelaria': [], 'Casa e Decoração': [], 'Bricolage, Jardim e Animais': [], 'Dott': []}"
2007,https://arquivo.pt/wayback/20070610185333mp_/http://www.staples.pt/default.aspx,www.staples.pt,3,"['Papelaria', 'Tecnologia', 'Mobiliário']","{'Papelaria': ['Apresentação', 'Arquivo & Organização', 'Borrachas & Correctores', 'Cadernos & Blocos de Notas', 'Colas & Fitas', 'Encadernação & Plastificação', 'Escrita & Desenho', 'Expedição', 'Furadores & Agrafadores', 'Higiene,Limpeza & Segurança', 'Livros & Dicionários', 'Malas', 'Material Escolar', 'Notas Aderentes', 'Outro Material Escritório', 'Papel'], 'Tecnologia': ['Calculadoras', 'Computadores & PDA´s', 'Copiadoras & Faxes', 'Drives & Media', 'Equipamento Escritório', 'Gps & Acessórios', 'Impressoras & Multifunções', 'Máquinas Digitais & Scanners', 'Monitores & Projectores', 'MP3 & Acessórios', 'Outros Acessórios', 'Outros Equipamentos', 'Periféricos & Memórias', 'Redes & Cabos', 'Software', 'Telefones & Comunicações', 'Toners & Tinteiros'], 'Mobiliário': ['Armários', 'Biombos & Bengaleiros', 'Cadeiras Executivo', 'Cadeiras Operativas', 'Cadeiras Visitante', 'Decoração & Iluminação', 'Desk Set´s', 'Escritórios Completos', 'Estantes', 'Mesas', 'Mesas de Computador', 'Secretárias', 'Sofás', 'Vestiários']}"
2010,https://arquivo.pt/wayback/20100608193358mp_/http://www.staples.pt/default.aspx,www.staples.pt,3,"['Papelaria', 'Tecnologia', 'Mobiliário']","{'Papelaria': ['Apresentação', 'Arquivo & Organização', 'Artes & Pinturas', 'Borrachas & Correctores', 'Cadernos & Blocos de Notas', 'Colas & Fitas', 'Destruidoras de Documentos', 'Encadernação & Plastificação', 'Escrita & Desenho', 'Expedição', 'Furadores & Agrafadores', 'Higiene, Limpeza & Segurança', 'Livros & Dicionários', 'Malas', 'Material Escolar', 'Notas Aderentes', 'Outro Material Escritório', 'Papel'], 'Tecnologia': ['Calculadoras', 'Computadores & PDA´s', 'Copiadoras & Faxes', 'Drives & Media', 'Equipamento Escritório', 'Gps & Acessórios', 'Impressoras & Multifunções', 'Máquinas Digitais & Scanners', 'Monitores & Projectores', 'MP3 & Acessórios', 'Outros Acessórios', 'Outros Equipamentos', 'Periféricos & Memórias', 'Redes & Cabos', 'Seguros Safe Walk', 'Software', 'Telefones & Comunicações', 'Toners & Tinteiros'], 'Mobiliário': ['Acessórios', 'Armários', 'Balcões de Recepção', 'Biombos & Bengaleiros', 'Cadeiras Executivo', 'Cadeiras Operativas', 'Cadeiras Visitante', 'Decoração & Iluminação', 'Estantes', 'Linhas de Escritório', 'Mesas', 'Mesas de Computador', 'Secretárias', 'Sofás', 'Tapetes', 'Vestiários']}"
2015,https://arquivo.pt/wayback/20151125004810mp_/http://www.staples.pt/,www.staples.pt,6,"['Material de Escritório', 'Tecnologia', 'Tinteiros & Toners', 'Serviços', 'Grandes Marcas', 'Destaques']","{'Material de Escritório': [], 'Tecnologia': [], 'Tinteiros & Toners': [], 'Serviços': [], 'Grandes Marcas': [], 'Destaques': []}"
2023,https://arquivo.pt/wayback/20230125024755mp_/http://www.staples.pt/,www.staples.pt,15,"['Material de Belas Artes', 'Tinteiros | Toners', 'Impressoras | Máquinas Escritório', 'Computadores | Armazenamento | Acessórios', 'Smartphones | Tablets | Eletrónica | Mobilidade', 'Mobiliário | Decoração', 'Papel | Cadernos | Notas Aderentes', 'Pastas | Dossiers | Organização', 'Material de Escritório', 'Material Escolar | Desenho | Trabalhos Manuais', 'Escrita', 'Quadros | Flip-Charts | Ardósias', 'Artigos para Ponto de Venda | Formulários', 'Limpeza | Manutenção', 'Eletrodomésticos | Máquinas de Café']","{'Material de Belas Artes': [], 'Tinteiros | Toners': [], 'Impressoras | Máquinas Escritório': [], 'Computadores | Armazenamento | Acessórios': [], 'Smartphones | Tablets | Eletrónica | Mobilidade': [], 'Mobiliário | Decoração': [], 'Papel | Cadernos | Notas Aderentes': [], 'Pastas | Dossiers | Organização': [], 'Material de Escritório': [], 'Material Escolar | Desenho | Trabalhos Manuais': [], 'Escrita': [], 'Quadros | Flip-Charts | Ardósias': [], 'Artigos para Ponto de Venda | Formulários': [], 'Limpeza | Manutenção': [], 'Eletrodomésticos | Máquinas de Café': ['2023 está quase aí! Organize o novo ano com este folheto especial Agendas']}"
2020,https://arquivo.pt/wayback/20200520191544mp_/http://www.staples.pt/,www.staples.pt,7,"['Material de Escritório', 'Tecnologia', 'Tinteiros & Toners', 'Serviços', 'Grandes Marcas', 'Destaques', 'Staples® ECO']","{'Material de Escritório': [], 'Tecnologia': [], 'Tinteiros & Toners': [], 'Serviços': [], 'Grandes Marcas': [], 'Destaques': [], 'Staples® ECO': []}"
