site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.elcorteingles.pt,20170814,Smartphone Huawei P8 Lite 2017 16 Gb Black Â· Tecnologia Â· El Corte InglÃ©s,"['259,90€']",https://arquivo.pt/wayback/20170814223133mp_/http://www.elcorteingles.pt/tecnologia/A22229265-smartphone-huawei-p8-lite-2017-16-gb-black/?utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA22229265-smartphone-huawei-p8-lite-2017-16-gb-black%2F%3Futm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20170814223133,"Smartphone <em>Huawei</em> <em>P8</em> Lite 2017 16 Gb Black &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR VOLTAR<span class=""ellipsis""> ... </span> Baterias e Pilhas Outros Acess&Atilde;&sup3;rios &Atilde;&#129;lbuns Trip&Atilde;&copy;s Papel Fotogr&Atilde;&iexcl;fico Smartphone <em>Huawei</em> <em>P8</em> Lite 2017 16 Gb Black Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Huawei</em> <em>P8</em> Lite 2017 16 Gb Black<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20170817,Smartphone Huawei P8 Lite 2017 16 Gb Gold Â· Tecnologia Â· El Corte InglÃ©s,"['259,90€']",https://arquivo.pt/wayback/20170817131138mp_/http://www.elcorteingles.pt/tecnologia/A22229266-smartphone-huawei-p8-lite-2017-16-gb-gold/?utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA22229266-smartphone-huawei-p8-lite-2017-16-gb-gold%2F%3Futm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20170817131138,"Smartphone <em>Huawei</em> <em>P8</em> Lite 2017 16 Gb Gold &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR VOLTAR DESCUBRA<span class=""ellipsis""> ... </span> Baterias e Pilhas Outros Acess&Atilde;&sup3;rios &Atilde;&#129;lbuns Trip&Atilde;&copy;s Papel Fotogr&Atilde;&iexcl;fico Smartphone <em>Huawei</em> <em>P8</em> Lite 2017 16 Gb Gold Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Huawei</em> <em>P8</em> Lite 2017 16 Gb Gold<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20180503,"Smartphone Huawei P20, 5.8"", 128 GB - Preto Â· Tecnologia Â· El Corte InglÃ©s","['699,90€']",https://arquivo.pt/wayback/20180503220206mp_/https://www.elcorteingles.pt/tecnologia/A26031189-smartphone-huawei-p20-58-128-gb-preto/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA26031189-smartphone-huawei-p20-58-128-gb-preto%2F%2F20180503220206,"Smartphone <em>Huawei</em> <em>P20</em>, 5.8&quot;, 128 GB - Preto &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR VOLTAR<span class=""ellipsis""> ... </span> Plantas Marcas Smartphone <em>Huawei</em> <em>P20</em>, 5.8&quot;, 128 GB - Preto Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Huawei</em> <em>P20</em>, 5.8&quot;, 128 GB - Preto Partilhar: Partilhar no Facebook Partilhar no Twitter<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20190422,Smartphone Huawei P20 PRO 128 GB Preto · Tecnologia · El Corte Inglés,"['559,90€', '799,90€']",https://arquivo.pt/wayback/20190422182258mp_/https://www.elcorteingles.pt/tecnologia/A25880982-smartphone-huawei-p20-pro-128-gb-preto/?utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA25880982-smartphone-huawei-p20-pro-128-gb-preto%2F%3Futm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20190422182258,"Smartphone <em>Huawei</em> <em>P20</em> PRO 128 GB Preto &middot; Tecnologia &middot; El Corte Ingl&eacute;s ACEITAR VOLTAR DESCUBRA A<span class=""ellipsis""> ... </span> Smart Animais e Plantas Marcas Smartphone <em>Huawei</em> <em>P20</em> PRO 128 GB Preto Tecnologia Telecomunica&ccedil;&otilde;es Smartphones Smartphone <em>Huawei</em> <em>P20</em> PRO 128 GB Preto Partilhar: Partilhar no Facebook Partilhar no<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20190906,"Smartphone Huawei P30, 6GB, 128GB - Black · Tecnologia · El Corte Inglés","['619,99€', '799,90€']",https://arquivo.pt/wayback/20190906123607mp_/https://www.elcorteingles.pt/feed/A29907171/?utm_campaign=catalogo-kuantokusta&utm_source=kuantokusta&utm_medium=comparador,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Ffeed%2FA29907171%2F%3Futm_campaign%3Dcatalogo-kuantokusta%26utm_source%3Dkuantokusta%26utm_medium%3Dcomparador%2F20190906123607,"Smartphone <em>Huawei</em> <em>P30</em>, 6GB, 128GB - Black &middot; Tecnologia &middot; El Corte Ingl&eacute;s ACEITAR VOLTAR DESCUBRA A<span class=""ellipsis""> ... </span> todo o El Corte Ingl&eacute;s El Corte Ingl&eacute;s Smartphone <em>Huawei</em> <em>P30</em>, 6GB, 128GB - Black Tecnologia Telecomunica&ccedil;&otilde;es Smartphones Smartphone <em>Huawei</em> <em>P30</em>, 6GB, 128GB - Black Partilhar: Partilhar no Facebook<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20190906,"Smartphone Huawei P30 Pro, 8GB, 128GB - Crystal · Tecnologia · El Corte Inglés","['789,99€', '999,90€']",https://arquivo.pt/wayback/20190906123753mp_/https://www.elcorteingles.pt/feed/A29907173/?utm_campaign=catalogo-kuantokusta&utm_source=kuantokusta&utm_medium=comparador,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Ffeed%2FA29907173%2F%3Futm_campaign%3Dcatalogo-kuantokusta%26utm_source%3Dkuantokusta%26utm_medium%3Dcomparador%2F20190906123753,"Smartphone <em>Huawei</em> <em>P30</em> Pro, 8GB, 128GB - Crystal &middot; Tecnologia &middot; El Corte Ingl&eacute;s ACEITAR VOLTAR<span class=""ellipsis""> ... </span> Tecnologia Em todo o El Corte Ingl&eacute;s El Corte Ingl&eacute;s Smartphone <em>Huawei</em> <em>P30</em> Pro, 8GB, 128GB - Crystal Tecnologia Telecomunica&ccedil;&otilde;es Smartphones Smartphone <em>Huawei</em> <em>P30</em> Pro, 8GB, 128GB - Crystal Partilhar<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20170819,"Smartphone Samsung Galaxy S8 5,8'' Prateado Â· Tecnologia Â· El Corte InglÃ©s","['799,90€']",https://arquivo.pt/wayback/20170819112727mp_/http://www.elcorteingles.pt/tecnologia/A22229353-smartphone-samsung-galaxy-s8-58-prateado/,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA22229353-smartphone-samsung-galaxy-s8-58-prateado%2F%2F20170819112727,"Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S8</em> 5,8'' Prateado &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR VOLTAR<span class=""ellipsis""> ... </span> Baterias e Pilhas Outros Acess&Atilde;&sup3;rios &Atilde;&#129;lbuns Trip&Atilde;&copy;s Papel Fotogr&Atilde;&iexcl;fico Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S8</em> 5,8'' Prateado Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S8</em> 5,8'' Prateado<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20171221,"Smartphone Samsung Galaxy S8 Plus 6,2'' - Prateado Â· Tecnologia Â· El Corte InglÃ©s","['919,90€']",https://arquivo.pt/wayback/20171221103352mp_/http://www.elcorteingles.pt/tecnologia/A22229356-smartphone-samsung-galaxy-s8-plus-62-prateado/,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA22229356-smartphone-samsung-galaxy-s8-plus-62-prateado%2F%2F20171221103352,"Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S8</em> Plus 6,2'' - Prateado &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR VOLTAR<span class=""ellipsis""> ... </span> Polaroid Fujifilm Marcas Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S8</em> Plus 6,2'' - Prateado Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S8</em> Plus 6,2'' - Prateado Partilhar: Partilhar no Facebook<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20180503,"Smartphone Samsung Galaxy S9, 5.8"", 64 GB - Azul TopÃ¡zio Â· Tecnologia Â· El Corte InglÃ©s","['869,90€']",https://arquivo.pt/wayback/20180503220421mp_/https://www.elcorteingles.pt/tecnologia/A25679663-smartphone-samsung-galaxy-s9-58-64-gb-azul-topazio/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA25679663-smartphone-samsung-galaxy-s9-58-64-gb-azul-topazio%2F%2F20180503220421,"Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S9</em>, 5.8&quot;, 64 GB - Azul Top&Atilde;&iexcl;zio &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR<span class=""ellipsis""> ... </span> Smart Animais e Plantas Marcas Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S9</em>, 5.8&quot;, 64 GB - Azul Top&Atilde;&iexcl;zio Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S9</em>, 5.8&quot;, 64 GB - Azul Top&Atilde;&iexcl;zio Partilhar<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20180503,"Smartphone Samsung Galaxy S9, 5.8"", 64 GB - Rosa PÃºrpura Â· Tecnologia Â· El Corte InglÃ©s","['869,90€']",https://arquivo.pt/wayback/20180503220813mp_/https://www.elcorteingles.pt/tecnologia/A25679671-smartphone-samsung-galaxy-s9-58-64-gb-rosa-purpura/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Ftecnologia%2FA25679671-smartphone-samsung-galaxy-s9-58-64-gb-rosa-purpura%2F%2F20180503220813,"Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S9</em>, 5.8&quot;, 64 GB - Rosa P&Atilde;&ordm;rpura &Acirc;&middot; Tecnologia &Acirc;&middot; El Corte Ingl&Atilde;&copy;s ACEITAR<span class=""ellipsis""> ... </span> Smart Animais e Plantas Marcas Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S9</em>, 5.8&quot;, 64 GB - Rosa P&Atilde;&ordm;rpura Tecnologia Telecomunica&Atilde;&sect;&Atilde;&micro;es Smartphones Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S9</em>, 5.8&quot;, 64 GB - Rosa P&Atilde;&ordm;rpura Partilhar<span class=""ellipsis""> ... </span>"
