site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.elcorteingles.pt,20181123,As minhas Encomendas Â· El Corte InglÃ©s,,https://arquivo.pt/wayback/20181123231804mp_/https://www.elcorteingles.pt/digitalorders/login/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fdigitalorders%2Flogin%2F%2F20181123231804," Acess&Atilde;&sup3;rios 2DS 3DS Consolas Retro <em>XBOX</em> Promo&Atilde;&sect;&Atilde;&micro;es Reservas Jogos <em>XBOX</em> <em>ONE</em> Jogos <em>XBOX</em> 360 Consolas <em>XBOX</em> <em>ONE</em> Acess&Atilde;&sup3;rios <em>XBOX</em> Cart&Atilde;&micro;es Digitais Gaming PC Jogos PC e Mac Computadores Monitores<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20181123,A Minha Biblioteca Digital Â· El Corte InglÃ©s,,https://arquivo.pt/wayback/20181123231906mp_/https://www.elcorteingles.pt/biblioteca-digital/login/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fbiblioteca-digital%2Flogin%2F%2F20181123231906," 2DS 3DS Acess&Atilde;&sup3;rios 2DS 3DS Consolas Retro <em>XBOX</em> Promo&Atilde;&sect;&Atilde;&micro;es Reservas Jogos <em>XBOX</em> <em>ONE</em> Jogos <em>XBOX</em> 360 Consolas <em>XBOX</em> <em>ONE</em> Acess&Atilde;&sup3;rios <em>XBOX</em> Cart&Atilde;&micro;es Digitais Gaming PC Jogos PC e Mac Computadores Monitores<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20181123,As minhas Encomendas Â· El Corte InglÃ©s,,https://arquivo.pt/wayback/20181123231804mp_/https://www.elcorteingles.pt/digitalorders/login/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fdigitalorders%2Flogin%2F%2F20181123231804," Adultos Cat&Atilde;&iexcl;logo Natal 2018 Gaming <em>PLAYSTATION</em> Promo&Atilde;&sect;&Atilde;&micro;es Reservas Jogos <em>PlayStation</em> <em>4</em> Jogos <em>Playstation</em> 3 Consolas <em>PlayStation</em> <em>Playstation</em> VR Acess&Atilde;&sup3;rios <em>PlayStation</em> NINTENDO Promo&Atilde;&sect;&Atilde;&micro;es Reservas<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20181123,A Minha Biblioteca Digital Â· El Corte InglÃ©s,,https://arquivo.pt/wayback/20181123231906mp_/https://www.elcorteingles.pt/biblioteca-digital/login/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fbiblioteca-digital%2Flogin%2F%2F20181123231906," Adultos Cat&Atilde;&iexcl;logo Natal 2018 Gaming <em>PLAYSTATION</em> Promo&Atilde;&sect;&Atilde;&micro;es Reservas Jogos <em>PlayStation</em> <em>4</em> Jogos <em>Playstation</em> 3 Consolas <em>PlayStation</em> <em>Playstation</em> VR Acess&Atilde;&sup3;rios <em>PlayStation</em> NINTENDO Promo&Atilde;&sect;&Atilde;&micro;es Reservas<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20191129,Cuidados Ecológicos · Vida Sustentável · El Corte Inglés,"['17,24€', '22,99€']",https://arquivo.pt/wayback/20191129140912mp_/https://www.elcorteingles.pt/vida-sustentavel/cuidados-ecologicos/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fvida-sustentavel%2Fcuidados-ecologicos%2F%2F20191129140912," Inform&aacute;tica Port&aacute;teis e Convert&iacute;veis Computadores Desktop Tablets Monitores Smartphones <em>Apple</em> <em>iPhone</em> Samsung Galaxy Capas e Pel&iacute;culas Smartwatches <em>Apple</em> Watch Samsung Galaxy Watch Huawei Watch Fitbit<span class=""ellipsis""> ... </span> (25) Av&egrave;ne (19) Phyto (<em>11</em>) Vichy (7) Clean (6) L'Or&eacute;al Paris (6) Biotherm (3) Apivita (2) Beter (1) Me<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20191129,Cuidados Ecológicos · Vida Sustentável · El Corte Inglés,"['17,24€', '22,99€']",https://arquivo.pt/wayback/20191129140907mp_/http://www.elcorteingles.pt/vida-sustentavel/cuidados-ecologicos/?level=1,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Fvida-sustentavel%2Fcuidados-ecologicos%2F%3Flevel%3D1%2F20191129140907," Inform&aacute;tica Port&aacute;teis e Convert&iacute;veis Computadores Desktop Tablets Monitores Smartphones <em>Apple</em> <em>iPhone</em> Samsung Galaxy Capas e Pel&iacute;culas Smartwatches <em>Apple</em> Watch Samsung Galaxy Watch Huawei Watch Fitbit<span class=""ellipsis""> ... </span> Jowa&eacute; (25) Av&egrave;ne (19) Phyto (<em>11</em>) Vichy (7) Clean (6) L'Or&eacute;al Paris (6) Biotherm (3) Apivita (2<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20191129,Jogos PlayStation 4 PlayStation · Gaming · El Corte Inglés,"['49,99€', '69,99€']",https://arquivo.pt/wayback/20191129042809mp_/https://www.elcorteingles.pt/gaming/playstation/jogos-playstation-4/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fgaming%2Fplaystation%2Fjogos-playstation-4%2F%2F20191129042809,"Jogos <em>PlayStation</em> <em>4</em> <em>PlayStation</em> &middot; Gaming &middot; El Corte Ingl&eacute;s ACEITAR VOLTAR DESCUBRA A NOSSA LOJA DE<span class=""ellipsis""> ... </span> Adultos Gaming <em>PLAYSTATION</em> Promo&ccedil;&otilde;es Reservas Jogos <em>PlayStation</em> <em>4</em> Jogos <em>Playstation</em> 3 Consolas<span class=""ellipsis""> ... </span> <em>PLAYSTATION</em> Consolas <em>PlayStation</em> <em>4</em> 500GB <em>PlayStation</em> <em>4</em> 1TB <em>PlayStation</em> VR <em>PlayStation</em> Classic Jogos Pr&eacute;<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20191129,Jogos PlayStation 4 PlayStation · Gaming · El Corte Inglés,"['49,99€', '69,99€']",https://arquivo.pt/wayback/20191129042709mp_/http://www.elcorteingles.pt/gaming/playstation/jogos-playstation-4/?level=1,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Fgaming%2Fplaystation%2Fjogos-playstation-4%2F%3Flevel%3D1%2F20191129042709,"Jogos <em>PlayStation</em> <em>4</em> <em>PlayStation</em> &middot; Gaming &middot; El Corte Ingl&eacute;s ACEITAR VOLTAR DESCUBRA A NOSSA LOJA DE<span class=""ellipsis""> ... </span> Adultos Gaming <em>PLAYSTATION</em> Promo&ccedil;&otilde;es Reservas Jogos <em>PlayStation</em> <em>4</em> Jogos <em>Playstation</em> 3 Consolas<span class=""ellipsis""> ... </span> <em>PLAYSTATION</em> Consolas <em>PlayStation</em> <em>4</em> 500GB <em>PlayStation</em> <em>4</em> 1TB <em>PlayStation</em> VR <em>PlayStation</em> Classic Jogos Pr&eacute;<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20191129,Consolas XBOX Xbox · Gaming · El Corte Inglés,"['199€', '299,99€']",https://arquivo.pt/wayback/20191129045220mp_/http://www.elcorteingles.pt/gaming/xbox/consolas-xbox/?level=1,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.elcorteingles.pt%2Fgaming%2Fxbox%2Fconsolas-xbox%2F%3Flevel%3D1%2F20191129045220," <em>PLAYSTATION</em> Promo&ccedil;&otilde;es Reservas Jogos <em>PlayStation</em> <em>4</em> Jogos <em>Playstation</em> 3 Consolas <em>PlayStation</em> <em>Playstation</em> VR Acess&oacute;rios <em>PlayStation</em> NINTENDO Promo&ccedil;&otilde;es Reservas Consolas Nintendo Switch Jogos Nintendo<span class=""ellipsis""> ... </span> <em>PlayStation</em> <em>4</em> 500GB <em>PlayStation</em> <em>4</em> 1TB <em>PlayStation</em> VR <em>PlayStation</em> Classic Jogos Pr&eacute;-Vendas Novidades<span class=""ellipsis""> ... </span>"
www.elcorteingles.pt,20191129,XBOX Live Cartões Digitais · Gaming · El Corte Inglés,['10€'],https://arquivo.pt/wayback/20191129045618mp_/https://www.elcorteingles.pt/gaming/cartoes-digitais/xbox-live/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.elcorteingles.pt%2Fgaming%2Fcartoes-digitais%2Fxbox-live%2F%2F20191129045618," Adultos Gaming <em>PLAYSTATION</em> Promo&ccedil;&otilde;es Reservas Jogos <em>PlayStation</em> <em>4</em> Jogos <em>Playstation</em> 3 Consolas <em>PlayStation</em> <em>Playstation</em> VR Acess&oacute;rios <em>PlayStation</em> NINTENDO Promo&ccedil;&otilde;es Reservas Consolas Nintendo Switch Jogos<span class=""ellipsis""> ... </span> Consolas <em>PlayStation</em> <em>4</em> 500GB <em>PlayStation</em> <em>4</em> 1TB <em>PlayStation</em> VR <em>PlayStation</em> Classic Jogos Pr&eacute;-Vendas<span class=""ellipsis""> ... </span>"
