site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.fnac.pt,20181123,Consola Sony PS4 1TB + Red Dead Redemption II - Consola - Compra na Fnac.pt,"['299\xa0€', '349,99\xa0€']",https://arquivo.pt/wayback/20181123182017mp_/https://www.fnac.pt/Consola-Sony-PS4-1TB-Red-Dead-Redemption-II-Consola-Consola/a6268776,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FConsola-Sony-PS4-1TB-Red-Dead-Redemption-II-Consola-Consola%2Fa6268776%2F20181123182017,"/<em>Xbox</em> <em>One</em>/PC Acess&oacute;rios PS4 Gioteck 14,79&nbsp;&#8364; Vendido por Quinta Vision 3&nbsp;novos&nbsp; desde 14,79&nbsp;&#8364; Adicionar<span class=""ellipsis""> ... </span>&nbsp;&#8364; Adicionar ao cesto Gioteck XH50 Wired Mono Headset Blue PS4/<em>Xbox</em> <em>One</em>/PC Acess&oacute;rios PS4 Gioteck 37,66<span class=""ellipsis""> ... </span> Headset (PS4/<em>Xbox</em> <em>One</em>) Acess&oacute;rios PS4 Turtle Beach 44,99&nbsp;&#8364; 7&nbsp;novos&nbsp; desde 42,90&nbsp;&#8364; Adicionar ao cesto<span class=""ellipsis""> ... </span>"
www.fnac.pt,20181123,"Fnac - Cultura, Tecnologia, Lazer",,https://arquivo.pt/wayback/20181123180050mp_/https://www.fnac.pt/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2F%2F20181123180050," Universo Wii U <em>Xbox</em> <em>One</em> Ver Tudo Consolas <em>Xbox</em> <em>One</em> Jogos <em>Xbox</em> <em>One</em> Volantes <em>Xbox</em> <em>One</em> PC Gaming Ver Tudo<span class=""ellipsis""> ... </span> Ver&atilde;o Bilheteira, Concertos, Espet&aacute;culos Andr&eacute; Rieu Metallica Super Bock em Stock Twenty <em>One</em> Pilots<span class=""ellipsis""> ... </span> Desktop Desktop Torre Desktop All-in-<em>One</em> Desktop Gaming Mini PC Desktop Apple Top Desktops Tablets e Kobo<span class=""ellipsis""> ... </span>"
www.fnac.pt,20181123,Consola Sony PS4 1TB + Red Dead Redemption II - Consola - Compra na Fnac.pt,"['299\xa0€', '349,99\xa0€']",https://arquivo.pt/wayback/20181123182017mp_/https://www.fnac.pt/Consola-Sony-PS4-1TB-Red-Dead-Redemption-II-Consola-Consola/a6268776,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FConsola-Sony-PS4-1TB-Red-Dead-Redemption-II-Consola-Consola%2Fa6268776%2F20181123182017," Cart&otilde;es <em>PlayStation</em>... Comandos Cart&otilde;es <em>PlayStation</em>... Auscultadores Carregamento Cabos <em>PlayStation</em> Plus - Subscri&ccedil;&atilde;o 3 Meses Acess&oacute;rios PS4 Sony Adicionar ao cesto Sony Comando DualShock <em>4</em> V2 Black PS4 Acess&oacute;rios PS4 Sony 39,99&nbsp;&#8364; Vendido por WEIP 13&nbsp;novos&nbsp; desde 39,99&nbsp;&#8364; <em>PlayStation</em> Network - 50<span class=""ellipsis""> ... </span>"
www.fnac.pt,20181123,"Fnac - Cultura, Tecnologia, Lazer",,https://arquivo.pt/wayback/20181123180050mp_/https://www.fnac.pt/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2F%2F20181123180050," dos <em>4</em> aos 6 anos Livros dos 7 aos 9 anos Livros mais de 10 anos Novidades Infanto-Juvenis Plano<span class=""ellipsis""> ... </span> eBooks - Os Mais Populares eBooks at&eacute; <em>4</em>,99&#8364; Papelaria, Gifts e Merchandising Novo Funko Pop Figures<span class=""ellipsis""> ... </span> Merchandising Filmes e S&eacute;ries TV&nbsp;em Campanha Filmes a <em>4</em>&#8364; e 5&#8364; FILMES DVD e Blu-ray A&ccedil;&atilde;o | Aventura Suspense<span class=""ellipsis""> ... </span>"
www.fnac.pt,20191129,Apple iPhone 8 - 64GB - Cinzento Sideral,"['499,99\xa0€', '549,99\xa0€']",https://arquivo.pt/wayback/20191129234029mp_/https://www.fnac.pt/informatica/Espaco-Apple/s22370,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2Finformatica%2FEspaco-Apple%2Fs22370%2F20191129234029," Novo iPad iPhone 11 Pro iPhone 11 Apple Watch Series 5 Apple Mac Apple <em>MacBook</em> 12'' Apple <em>MacBook</em> <em>Air</em><span class=""ellipsis""> ... </span> Apple <em>MacBook</em> <em>Air</em> 13'' i5-1,8GHz | 8GB | 128GB <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK FRIDAY FNAC -26% 839&nbsp;&#8364; 1<span class=""ellipsis""> ... </span> <em>MacBook</em> <em>Air</em> 13'' Retina | i5-1,6GHz | 8GB | 128GB - Cinzento Sideral <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK<span class=""ellipsis""> ... </span>"
www.fnac.pt,20191129,Apple iPhone XS - 64GB - Cinzento Sideral,"['829,99\xa0€', '1\xa0069,99\xa0€']",https://arquivo.pt/wayback/20191129234029mp_/https://www.fnac.pt/informatica/Espaco-Apple/s22370,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2Finformatica%2FEspaco-Apple%2Fs22370%2F20191129234029," Novo iPad iPhone 11 Pro iPhone 11 Apple Watch Series 5 Apple Mac Apple <em>MacBook</em> 12'' Apple <em>MacBook</em> <em>Air</em><span class=""ellipsis""> ... </span> Apple <em>MacBook</em> <em>Air</em> 13'' i5-1,8GHz | 8GB | 128GB <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK FRIDAY FNAC -26% 839&nbsp;&#8364; 1<span class=""ellipsis""> ... </span> <em>MacBook</em> <em>Air</em> 13'' Retina | i5-1,6GHz | 8GB | 128GB - Cinzento Sideral <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK<span class=""ellipsis""> ... </span>"
www.fnac.pt,20191129,Apple iPhone 7 - 32GB (Preto Mate),"['349,99\xa0€', '449,99\xa0€']",https://arquivo.pt/wayback/20191129234029mp_/https://www.fnac.pt/informatica/Espaco-Apple/s22370,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2Finformatica%2FEspaco-Apple%2Fs22370%2F20191129234029," Novo iPad iPhone 11 Pro iPhone 11 Apple Watch Series 5 Apple Mac Apple <em>MacBook</em> 12'' Apple <em>MacBook</em> <em>Air</em><span class=""ellipsis""> ... </span> Apple <em>MacBook</em> <em>Air</em> 13'' i5-1,8GHz | 8GB | 128GB <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK FRIDAY FNAC -26% 839&nbsp;&#8364; 1<span class=""ellipsis""> ... </span> <em>MacBook</em> <em>Air</em> 13'' Retina | i5-1,6GHz | 8GB | 128GB - Cinzento Sideral <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK<span class=""ellipsis""> ... </span>"
www.fnac.pt,20191129,Apple iPhone 8 - 64GB - Prateado,"['499,99\xa0€', '549,99\xa0€']",https://arquivo.pt/wayback/20191129234029mp_/https://www.fnac.pt/informatica/Espaco-Apple/s22370,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2Finformatica%2FEspaco-Apple%2Fs22370%2F20191129234029," Novo iPad iPhone 11 Pro iPhone 11 Apple Watch Series 5 Apple Mac Apple <em>MacBook</em> 12'' Apple <em>MacBook</em> <em>Air</em><span class=""ellipsis""> ... </span> Apple <em>MacBook</em> <em>Air</em> 13'' i5-1,8GHz | 8GB | 128GB <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK FRIDAY FNAC -26% 839&nbsp;&#8364; 1<span class=""ellipsis""> ... </span> <em>MacBook</em> <em>Air</em> 13'' Retina | i5-1,6GHz | 8GB | 128GB - Cinzento Sideral <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK<span class=""ellipsis""> ... </span>"
www.fnac.pt,20191129,Apple iPhone 7 - 32GB (Rosa Dourado),"['349,99\xa0€', '449,99\xa0€']",https://arquivo.pt/wayback/20191129234029mp_/https://www.fnac.pt/informatica/Espaco-Apple/s22370,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2Finformatica%2FEspaco-Apple%2Fs22370%2F20191129234029," Novo iPad iPhone 11 Pro iPhone 11 Apple Watch Series 5 Apple Mac Apple <em>MacBook</em> 12'' Apple <em>MacBook</em> <em>Air</em><span class=""ellipsis""> ... </span> Apple <em>MacBook</em> <em>Air</em> 13'' i5-1,8GHz | 8GB | 128GB <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK FRIDAY FNAC -26% 839&nbsp;&#8364; 1<span class=""ellipsis""> ... </span> <em>MacBook</em> <em>Air</em> 13'' Retina | i5-1,6GHz | 8GB | 128GB - Cinzento Sideral <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK<span class=""ellipsis""> ... </span>"
www.fnac.pt,20191129,Apple iPhone 7 - 32GB (Dourado),"['349,99\xa0€', '449,99\xa0€']",https://arquivo.pt/wayback/20191129234029mp_/https://www.fnac.pt/informatica/Espaco-Apple/s22370,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2Finformatica%2FEspaco-Apple%2Fs22370%2F20191129234029," Novo iPad iPhone 11 Pro iPhone 11 Apple Watch Series 5 Apple Mac Apple <em>MacBook</em> 12'' Apple <em>MacBook</em> <em>Air</em><span class=""ellipsis""> ... </span> Apple <em>MacBook</em> <em>Air</em> 13'' i5-1,8GHz | 8GB | 128GB <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK FRIDAY FNAC -26% 839&nbsp;&#8364; 1<span class=""ellipsis""> ... </span> <em>MacBook</em> <em>Air</em> 13'' Retina | i5-1,6GHz | 8GB | 128GB - Cinzento Sideral <em>Macbook</em> Apple 5 PROMO&Ccedil;&Atilde;O BLACK<span class=""ellipsis""> ... </span>"
