site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.pcdiga.com,20190327,Huawei P30 | P30 Pro - Redefine as regras da fotografia - PCDIGA,,https://arquivo.pt/wayback/20190327050744mp_/https://www.pcdiga.com/huawei-p30-p30pro-redefine-as-regras-da-fotografia?ref=takeover,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fhuawei-p30-p30pro-redefine-as-regras-da-fotografia%3Fref%3Dtakeover%2F20190327050744,"<em>Huawei</em> <em>P30</em> | <em>P30</em> Pro - Redefine as regras da fotografia - PCDIGA JavaScript seems to be disabled in your browser. You must have JavaScript enabled in your browser to utilize the functionality of this<span class=""ellipsis""> ... </span> Marcas Inicio &gt; <em>Huawei</em> <em>P30</em> | <em>P30</em> Pro - Redefine as regras da fotografia Subscreva a Newsletter Se<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20190329,Huawei P30 | P30 Pro - Redefine as regras da fotografia - PCDIGA,,https://arquivo.pt/wayback/20190329021156mp_/https://www.pcdiga.com/huawei-p30-p30pro-redefine-as-regras-da-fotografia,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fhuawei-p30-p30pro-redefine-as-regras-da-fotografia%2F20190329021156,"<em>Huawei</em> <em>P30</em> | <em>P30</em> Pro - Redefine as regras da fotografia - PCDIGA JavaScript seems to be disabled in your browser. You must have JavaScript enabled in your browser to utilize the functionality of this<span class=""ellipsis""> ... </span> Marcas Inicio &gt; <em>Huawei</em> <em>P30</em> | <em>P30</em> Pro - Redefine as regras da fotografia Subscreva a Newsletter Se<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20181102,Samsung Galaxy S8+ Starter Kit 1 - Outros - Acessórios - Mobilidade - PCDIGA,"['39,90€']",https://arquivo.pt/wayback/20181102025958mp_/https://www.pcdiga.com/samsung-galaxy-s8-starter-kit-89258,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fsamsung-galaxy-s8-starter-kit-89258%2F20181102025958,"<em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 1 - Outros - Acess&oacute;rios - Mobilidade - PCDIGA JavaScript seems to be<span class=""ellipsis""> ... </span>,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 2 ok 44,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 1 ok 39,90&nbsp;&#8364; Suporte<span class=""ellipsis""> ... </span>,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 2 ok 44,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 1 ok 39,90&nbsp;&#8364; Suporte<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20181102,Samsung Galaxy S8+ Starter Kit 2 - Outros - Acessórios - Mobilidade - PCDIGA,"['44,90€']",https://arquivo.pt/wayback/20181102030030mp_/https://www.pcdiga.com/samsung-galaxy-s8-starter-kit-89260,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fsamsung-galaxy-s8-starter-kit-89260%2F20181102030030,"<em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 2 - Outros - Acess&oacute;rios - Mobilidade - PCDIGA JavaScript seems to be<span class=""ellipsis""> ... </span>,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 2 ok 44,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 1 ok 39,90&nbsp;&#8364; Suporte<span class=""ellipsis""> ... </span>,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 2 ok 44,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> <em>S8</em>+ Starter Kit 1 ok 39,90&nbsp;&#8364; Suporte<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20180414,Samsung Galaxy S9 | S9+,,https://arquivo.pt/wayback/20180414115529mp_/https://www.pcdiga.com/media/wysiwyg/LandingPage/Galaxy_S9_v4/index.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fmedia%2Fwysiwyg%2FLandingPage%2FGalaxy_S9_v4%2Findex.html%2F20180414115529,"<em>Samsung</em> <em>Galaxy</em> <em>S9</em> | <em>S9</em>+ Apresentamos <em>Galaxy</em> <em>S9</em>+ A C&acirc;mara. Reinventada. Comprar Design Super C&acirc;mara<span class=""ellipsis""> ... </span> deslumbrante ecr&atilde; infinito do <em>Galaxy</em> <em>S9</em> e <em>S9</em>+. Consiga uma experi&ecirc;ncia de visualiza&ccedil;&atilde;o imersiva com o<span class=""ellipsis""> ... </span> seu <em>Galaxy</em> <em>S9</em> e <em>S9</em>+. Emoji em Realidade Aumentada Crie um emoji animado que &eacute; uma vers&atilde;o de si<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20181102,Samsung Galaxy S9 | S9+,,https://arquivo.pt/wayback/20181102030121mp_/https://www.pcdiga.com/media/wysiwyg/LandingPage/Galaxy_S9_v4/index.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fmedia%2Fwysiwyg%2FLandingPage%2FGalaxy_S9_v4%2Findex.html%2F20181102030121,"<em>Samsung</em> <em>Galaxy</em> <em>S9</em> | <em>S9</em>+ Apresentamos <em>Galaxy</em> <em>S9</em>+ A C&acirc;mara. Reinventada. Comprar Design Super C&acirc;mara<span class=""ellipsis""> ... </span> deslumbrante ecr&atilde; infinito do <em>Galaxy</em> <em>S9</em> e <em>S9</em>+. Consiga uma experi&ecirc;ncia de visualiza&ccedil;&atilde;o imersiva com o<span class=""ellipsis""> ... </span> seu <em>Galaxy</em> <em>S9</em> e <em>S9</em>+. Emoji em Realidade Aumentada Crie um emoji animado que &eacute; uma vers&atilde;o de si<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20180414,Samsung Galaxy S9 | S9+ - PCDIGA,,https://arquivo.pt/wayback/20180414115413mp_/https://www.pcdiga.com/samsung-galaxy-s9-s9-plus,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fsamsung-galaxy-s9-s9-plus%2F20180414115413,"<em>Samsung</em> <em>Galaxy</em> <em>S9</em> | <em>S9</em>+ - PCDIGA JavaScript seems to be disabled in your browser. You must have<span class=""ellipsis""> ... </span> Xbox 360 Jogos Xbox 360 Marcas Inicio &gt; <em>Samsung</em> <em>Galaxy</em> <em>S9</em> | <em>S9</em>+ Subscreva a Newsletter Se pretende<span class=""ellipsis""> ... </span>) recentemente adicionado(s) &times; <em>Samsung</em> <em>Galaxy</em> S8+ Starter Kit 1 ok 54,90&nbsp;&#8364; Teclado Asus TransKeyboard<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20181102,Samsung Galaxy S9 | S9+ - PCDIGA,,https://arquivo.pt/wayback/20181102030108mp_/https://www.pcdiga.com/samsung-galaxy-s9-s9-plus,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fsamsung-galaxy-s9-s9-plus%2F20181102030108,"<em>Samsung</em> <em>Galaxy</em> <em>S9</em> | <em>S9</em>+ - PCDIGA JavaScript seems to be disabled in your browser. You must have<span class=""ellipsis""> ... </span> &nbsp; Consola Xbox One Consola Xbox 360 Jogos Xbox 360 Marcas Inicio &gt; <em>Samsung</em> <em>Galaxy</em> <em>S9</em> | <em>S9</em>+ Subscreva<span class=""ellipsis""> ... </span>&nbsp;&#8364; Teclado Asus TransKeyboard Bluetooth Preto p/Tablet ok 49,90&nbsp;&#8364; <em>Samsung</em> <em>Galaxy</em> S8+ Starter Kit 2 ok 44<span class=""ellipsis""> ... </span>"
www.pcdiga.com,20190325,"Smartphone Samsung Galaxy S10+ 6.4"" 128GB Dual SIM Verde - PCDIGA","['1 019,00€']",https://arquivo.pt/wayback/20190325074102mp_/https://www.pcdiga.com/smartphone-samsung-galaxy-s10-6-4-128gb-dual-sim-verde,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fsmartphone-samsung-galaxy-s10-6-4-128gb-dual-sim-verde%2F20190325074102,"Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ 6.4&quot; 128GB Dual SIM Verde - PCDIGA JavaScript seems to be disabled<span class=""ellipsis""> ... </span>&nbsp;&#8364; Smartphone HTC U11 Life 5.2&quot; 32GB Preto ok 330,90&nbsp;&#8364; Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ 6.4&quot; 1TB Dual SIM<span class=""ellipsis""> ... </span> &nbsp; Consola Xbox One Consola Xbox 360 Jogos Xbox 360 Marcas In&iacute;cio &gt; Android &gt; Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20190426,"Smartphone Samsung Galaxy S10+ 6.4"" 128GB Dual SIM Branco - PCDIGA","['1 019,00€']",https://arquivo.pt/wayback/20190426052859mp_/https://www.pcdiga.com/smartphone-samsung-galaxy-s10-6-4-128gb-dual-sim-branco,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fsmartphone-samsung-galaxy-s10-6-4-128gb-dual-sim-branco%2F20190426052859,"Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ 6.4&quot; 128GB Dual SIM Branco - PCDIGA JavaScript seems to be disabled<span class=""ellipsis""> ... </span> 360 Marcas In&iacute;cio &gt; Android &gt; Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ 6.4&quot; 8GB/128GB Dual SIM Branco Smartphone <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ 6.4&quot; 8GB/128GB Dual SIM Branco P/N : SM-G975FZWDTPH | EAN : 8801643657338<span class=""ellipsis""> ... </span>"
