site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.pcdiga.com,20201127,"Smartphone Oppo A15 6.52"" 3GB/32GB Dual SIM Mystery Blue","['169,90€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone Oppo A15 6.52"" 3GB/32GB Dual SIM Dynamic Black","['169,90€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone OnePlus Nord N100 6.52"" 4GB/64GB Dual SIM Midnight Frost","['199,00€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone TCL 10 Plus 6.47"" 6GB/256GB Dual SIM Azul","['399,90€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone TCL 10 Plus 6.47"" 6GB/256GB Dual SIM Cinzento","['399,90€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,Película de Protecção 3MK Antimicrobiana Silver Protection+ Xiaomi Redmi Note 9,"['11,90€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone Huawei Mate 40 Pro 6.76"" 8GB/256GB Dual SIM Prateado","['1249,00€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone Oppo A53 6.5"" 4GB/64GB Dual SIM Mint Cream","['189,00€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone Oppo A53 6.5"" 4GB/64GB Dual SIM Electric Black","['189,00€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
www.pcdiga.com,20201127,"Smartphone Oppo A53s 6.5"" 4GB/128GB Dual SIM Fancy Blue","['219,00€']",https://arquivo.pt/wayback/20201127225659mp_/https://www.pcdiga.com/catalogo-pcdiga/mobilidade/smartphones/smartphone-android,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.pcdiga.com%2Fcatalogo-pcdiga%2Fmobilidade%2Fsmartphones%2Fsmartphone-android%2F20201127225659," Realme X3 SuperZoom Realme 6 Pro Realme 6s Realme 6 Realme 6i Realme 5i Realme C3 <em>Samsung</em> <em>Galaxy</em> Fold 2 <em>Samsung</em> <em>Galaxy</em> Note 20 Ultra <em>Samsung</em> <em>Galaxy</em> Note 20 <em>Samsung</em> <em>Galaxy</em> Note 10+ <em>Samsung</em> <em>Galaxy</em> S20 Ultra <em>Samsung</em> <em>Galaxy</em> S20 FE <em>Samsung</em> <em>Galaxy</em> S20+ <em>Samsung</em> <em>Galaxy</em> S20 <em>Samsung</em> <em>Galaxy</em> <em>S10</em>+ <em>Samsung</em> <em>Galaxy</em> <em>S10</em><span class=""ellipsis""> ... </span>"
