site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.radiopopular.pt,20181123,Radio Popular,"['666,99', '719,99']",https://arquivo.pt/wayback/20181123181034mp_/https://www.radiopopular.pt/produto/apple-iphone-8-64gb-gold,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fproduto%2Fapple-iphone-8-64gb-gold%2F20181123181034," <em>IPHONE</em> <em>8</em> 64GB GOLD 53 <em>APPLE</em> <em>IPHONE</em> <em>8</em> 64GB GOLD 1268721 comprar 53 Direto &Atilde;&#137; necess&Atilde;&iexcl;rio iniciar<span class=""ellipsis""> ... </span> conta RP, crie a sua em apenas alguns minutos. comprar 53 <em>APPLE</em> <em>IPHONE</em> <em>8</em> 64GB GOLD 1268721 Ficha T&Atilde;<span class=""ellipsis""> ... </span> legal em vigor. Ver produto Comprar <em>APPLE</em> <em>IPHONE</em> <em>8</em> PLUS 64GB SP GREY 5,5&quot; Retina HD | <em>Apple</em> A11<span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20181123,Radio Popular,,https://arquivo.pt/wayback/20181123180023mp_/https://www.radiopopular.pt/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2F%2F20181123180023," Mobilidade Port&Atilde;&iexcl;teis Gaming Desktop Tablets Tablets 3G | 4G LTE <em>Apple</em> Surface PC Gaming Port&Atilde;&iexcl;teis Ratos<span class=""ellipsis""> ... </span> TP-Link Comunica&Atilde;&sect;&Atilde;&micro;es Telem&Atilde;&sup3;veis e Smartphones Telem&Atilde;&sup3;veis Smartphones Smartwatch <em>iPhone</em><span class=""ellipsis""> ... </span> Beleza e Bem Estar Gastronomia Aventura Multi-atividade Gift Card Cards Cart&Atilde;&pound;o de Tinteiros <em>Apple</em><span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20191129,Radio Popular,"['846,75', '1.129,00']",https://arquivo.pt/wayback/20191129060033mp_/https://www.radiopopular.pt/produto/macbook-air-apple-mqd32poa,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fproduto%2Fmacbook-air-apple-mqd32poa%2F20191129060033," de 13,0&quot; a 15,2&quot; <em>MACBOOK</em> <em>AIR</em> APPLE MQD32PO/A 25 <em>MACBOOK</em> <em>AIR</em> APPLE MQD32PO/A 1267846 comprar 25<span class=""ellipsis""> ... </span>. Se ainda n&atilde;o tem uma conta RP, crie a sua em apenas alguns minutos. 25 <em>MACBOOK</em> <em>AIR</em> APPLE MQD32PO/A<span class=""ellipsis""> ... </span> 2 Anos Ver mais Esconder Packs do produto Produtos com pre&ccedil;o id&ecirc;ntico etc e tal 280 <em>MACBOOK</em> <em>AIR</em><span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20191129,Radio Popular,"['846,75', '1.129,00']",https://arquivo.pt/wayback/20191129055956mp_/https://www.radiopopular.pt/produto/macbook-air-apple-mqd32poa?utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fproduto%2Fmacbook-air-apple-mqd32poa%3Futm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20191129055956," de 13,0&quot; a 15,2&quot; <em>MACBOOK</em> <em>AIR</em> APPLE MQD32PO/A 25 <em>MACBOOK</em> <em>AIR</em> APPLE MQD32PO/A 1267846 comprar 25<span class=""ellipsis""> ... </span>. Se ainda n&atilde;o tem uma conta RP, crie a sua em apenas alguns minutos. 25 <em>MACBOOK</em> <em>AIR</em> APPLE MQD32PO/A<span class=""ellipsis""> ... </span> 2 Anos Ver mais Esconder Packs do produto Produtos com pre&ccedil;o id&ecirc;ntico etc e tal 280 <em>MACBOOK</em> <em>AIR</em><span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20191129,Radio Popular,,https://arquivo.pt/wayback/20191129181617mp_/https://www.radiopopular.pt/carrinho/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fcarrinho%2F%2F20191129181617," Computadores Port&aacute;teis Mobilidade Port&aacute;teis Gaming Desktop All in <em>One</em> PC Gaming PC Mini TV Box Apple<span class=""ellipsis""> ... </span> Nintendo Consolas Nintendo Switch Consolas Nintendo DS Jogos Nintendo <em>Xbox</em> Jogos <em>Xbox</em> PC Gaming<span class=""ellipsis""> ... </span> Nintendo Switch Nintendo DS <em>XBox</em> 360 Sega Jogos PS4 Nintendo <em>XBox</em> Computadores Comandos Controlpad<span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20191129,Radio Popular,,https://arquivo.pt/wayback/20191129181613mp_/https://www.radiopopular.pt/carrinho/?id=,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fcarrinho%2F%3Fid%3D%2F20191129181613," Computadores Port&aacute;teis Mobilidade Port&aacute;teis Gaming Desktop All in <em>One</em> PC Gaming PC Mini TV Box Apple<span class=""ellipsis""> ... </span> Nintendo Consolas Nintendo Switch Consolas Nintendo DS Jogos Nintendo <em>Xbox</em> Jogos <em>Xbox</em> PC Gaming<span class=""ellipsis""> ... </span> Nintendo Switch Nintendo DS <em>XBox</em> 360 Sega Jogos PS4 Nintendo <em>XBox</em> Computadores Comandos Controlpad<span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20201127,Radio Popular,"['22,00', '99,00']",https://arquivo.pt/wayback/20201127183053mp_/https://www.radiopopular.pt/produto/maquina-cafe-capsulas-krups-nespresso-es-1101p1,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fproduto%2Fmaquina-cafe-capsulas-krups-nespresso-es-1101p1%2F20201127183053," Moinhos de Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Funcooking M&aacute;quina de Crepes<span class=""ellipsis""> ... </span> Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Voltar M&aacute;quina de Crepes M&aacute;quina de<span class=""ellipsis""> ... </span> Eletrodom&eacute;sticos Cafetaria M&aacute;quinas de Caf&eacute; C&aacute;psula M&Aacute;QUINA CAF&Eacute; C&Aacute;PSULAS KRUPS <em>NESPRESSO</em> XN1101 77<span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20201127,Radio Popular,,https://arquivo.pt/wayback/20201127180913mp_/https://www.radiopopular.pt/,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2F%2F20201127180913," Moinhos de Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Funcooking M&aacute;quina de Crepes<span class=""ellipsis""> ... </span> Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Voltar M&aacute;quina de Crepes M&aacute;quina de<span class=""ellipsis""> ... </span> NOVEMBRO BLACK FRIDAY - 23 A 30 NOVEMBRO PRODUTOS EM DESTAQUE 77 M&Aacute;QUINA CAF&Eacute; C&Aacute;PSULAS KRUPS <em>NESPRESSO</em><span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20201127,Radio Popular,,https://arquivo.pt/wayback/20201127182924mp_/https://www.radiopopular.pt/d/m/Y,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2Fd%2Fm%2FY%2F20201127182924," Moinhos de Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Funcooking M&aacute;quina de Crepes<span class=""ellipsis""> ... </span> Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Voltar M&aacute;quina de Crepes M&aacute;quina de<span class=""ellipsis""> ... </span>"
www.radiopopular.pt,20201127,Radio Popular,,https://arquivo.pt/wayback/20201127182954mp_/https://www.radiopopular.pt/Msxml2.XMLHTTP,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.radiopopular.pt%2FMsxml2.XMLHTTP%2F20201127182954," Moinhos de Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Funcooking M&aacute;quina de Crepes<span class=""ellipsis""> ... </span> Caf&eacute; Acess&oacute;rios Caf&eacute; e Ch&aacute; Delta Dimobilli <em>Nespresso</em> Dolce Gusto Voltar M&aacute;quina de Crepes M&aacute;quina de<span class=""ellipsis""> ... </span>"
