site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.worten.pt,20160221,Smartphone HUAWEI P8 Lite Dourado - HUAWEI,,https://arquivo.pt/wayback/20160221001735mp_/https://www.worten.pt/smartphone-huawei-p8-lite-dourado.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Fsmartphone-huawei-p8-lite-dourado.html%2F20160221001735,"Smartphone <em>HUAWEI</em> <em>P8</em> Lite Dourado - <em>HUAWEI</em> Worten Online Bem-Vindo(a), Iniciar Sess&atilde;o A Minha Conta<span class=""ellipsis""> ... </span> funcionalidade deste website. <em>HUAWEI</em> &#8250; Smartphone <em>HUAWEI</em> <em>P8</em> Lite Dourado Smartphone <em>HUAWEI</em> <em>P8</em> Lite<span class=""ellipsis""> ... </span> Coment&aacute;rio A Sua Classifica&ccedil;&atilde;o: Smartphone <em>HUAWEI</em> <em>P8</em> Lite Dourado Classifica&ccedil;&atilde;o * 1 estrela 2 estrelas<span class=""ellipsis""> ... </span>"
www.worten.pt,20170223,Smartphone HUAWEI P8 Lite Preto | Worten.pt,"['€199,99', '€229,99']",https://arquivo.pt/wayback/20170223003657mp_/https://www.worten.pt/smartphones-e-comunicacoes/smartphones/smartphones-desbloqueados/smartphone-huawei-p8-lite-preto-5551684,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Fsmartphones-e-comunicacoes%2Fsmartphones%2Fsmartphones-desbloqueados%2Fsmartphone-huawei-p8-lite-preto-5551684%2F20170223003657,"Smartphone <em>HUAWEI</em> <em>P8</em> Lite Preto | Worten.pt menu PRODUTOS Grandes Eletrodom&eacute;sticos M&Aacute;QUINAS DE<span class=""ellipsis""> ... </span> Smartphones Desbloqueados Smartphone <em>HUAWEI</em> <em>P8</em> Lite Preto Smartphone <em>HUAWEI</em> <em>P8</em> Lite Preto -13% Gr&aacute;tis Smartphone <em>HUAWEI</em> <em>P8</em> Lite Preto &#8364; 229, 99 &#8364; 199, 99 Adicionar ao Carrinho Reserve Ver<span class=""ellipsis""> ... </span>"
www.worten.pt,20180720,Smartphone HUAWEI P20 128GB Preto | Worten.pt,"['€579,99', '€699,99']",https://arquivo.pt/wayback/20180720163545mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/huawei/smartphone-huawei-p20-128gb-preto-6516240?utm_source=KuantoKustaProd&utm_medium=comparadordeprecos&utm_campaign=alwayson,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Fhuawei%2Fsmartphone-huawei-p20-128gb-preto-6516240%3Futm_source%3DKuantoKustaProd%26utm_medium%3Dcomparadordeprecos%26utm_campaign%3Dalwayson%2F20180720163545,"Smartphone <em>HUAWEI</em> <em>P20</em> 128GB Preto | Worten.pt menu PRODUTOS Grandes Eletrodom&eacute;sticos M&Aacute;QUINAS DE<span class=""ellipsis""> ... </span> Pacotes de TV Telem&oacute;veis e Smartphones <em>Huawei</em> Smartphone <em>HUAWEI</em> <em>P20</em> 128GB Preto Smartphone <em>HUAWEI</em> <em>P20</em> 128GB Preto &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (4 avalia&ccedil;&otilde;es) -17% At&eacute; 415&#8364; Retoma* Encomenda de Pe&ccedil;as Smartphone <em>HUAWEI</em><span class=""ellipsis""> ... </span>"
www.worten.pt,20180720,Smartphone HUAWEI P20 128GB Azul | Worten.pt,"['€579,99', '€699,99']",https://arquivo.pt/wayback/20180720163834mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/huawei/smartphone-huawei-p20-128gb-azul-6516241?utm_source=KuantoKustaProd&utm_medium=comparadordeprecos&utm_campaign=alwayson,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Fhuawei%2Fsmartphone-huawei-p20-128gb-azul-6516241%3Futm_source%3DKuantoKustaProd%26utm_medium%3Dcomparadordeprecos%26utm_campaign%3Dalwayson%2F20180720163834,"Smartphone <em>HUAWEI</em> <em>P20</em> 128GB Azul | Worten.pt menu PRODUTOS Grandes Eletrodom&eacute;sticos M&Aacute;QUINAS DE<span class=""ellipsis""> ... </span> Pacotes de TV Telem&oacute;veis e Smartphones <em>Huawei</em> Smartphone <em>HUAWEI</em> <em>P20</em> 128GB Azul Smartphone <em>HUAWEI</em> <em>P20</em> 128GB Azul &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (1 avalia&ccedil;&otilde;es) -17% At&eacute; 415&#8364; Retoma* Encomenda de Pe&ccedil;as Smartphone <em>HUAWEI</em> <em>P20</em><span class=""ellipsis""> ... </span>"
www.worten.pt,20190902,Smartphone HUAWEI P30 Pro (6.47'' - 8 GB - 128 GB - Preto) - WORTEN,"['€849,99', '€999,99']",https://arquivo.pt/wayback/20190902061452mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/huawei/smartphone-huawei-p30-pro-6-47-8-gb-128-gb-preto-6878841?utm_source=KuantoKustaProd&utm_medium=comparadordeprecos&utm_campaign=alwayson,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Fhuawei%2Fsmartphone-huawei-p30-pro-6-47-8-gb-128-gb-preto-6878841%3Futm_source%3DKuantoKustaProd%26utm_medium%3Dcomparadordeprecos%26utm_campaign%3Dalwayson%2F20190902061452,"Smartphone <em>HUAWEI</em> <em>P30</em> Pro (6.47'' - 8 GB - 128 GB - Preto) - WORTEN menu PRODUTOS Grandes<span class=""ellipsis""> ... </span> Smartphones Smartphones <em>Huawei</em> Smartphone <em>HUAWEI</em> <em>P30</em> Pro (6.47'' - 8 GB - 128 GB - Preto) Smartphone <em>HUAWEI</em><span class=""ellipsis""> ... </span> <em>HUAWEI</em> <em>P30</em> Pro (6.47'' - 8 GB - 128 GB - Preto) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (5 avalia&ccedil;&otilde;es) Worten 6&nbsp;ofertas&nbsp; Marketplace<span class=""ellipsis""> ... </span>"
www.worten.pt,20201231,Smartphone HUAWEI P40 Pro 5G (6.58'' - 8 GB - 256 GB - Preto) + Watch Fit Active + FreeBuds 3 | Wort,"['€899,99', '€1049,00']",https://arquivo.pt/wayback/20201231194727mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/huawei/smartphone-huawei-p40-pro-5g-6-58-8-gb-256-gb-preto-watch-fit-active-freebuds-3-7300618,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Fhuawei%2Fsmartphone-huawei-p40-pro-5g-6-58-8-gb-256-gb-preto-watch-fit-active-freebuds-3-7300618%2F20201231194727,"Smartphone <em>HUAWEI</em> <em>P40</em> Pro 5G (6.58'' - 8 GB - 256 GB - Preto) + Watch Fit Active + FreeBuds 3<span class=""ellipsis""> ... </span> Telem&oacute;veis e Pacotes de TV Telem&oacute;veis e Smartphones Smartphones <em>Huawei</em> Smartphone <em>HUAWEI</em> <em>P40</em> Pro 5G (6.58<span class=""ellipsis""> ... </span> carrinho. Sobre Smartphone <em>HUAWEI</em> <em>P40</em> Pro 5G (6.58'' - 8 GB - 256 GB - Preto) + Watch Fit Active<span class=""ellipsis""> ... </span>"
www.worten.pt,20201223,Smartphone HUAWEI P40 Pro 5G (6.58'' - 8 GB - 256 GB - Preto) + Watch Fit Active + FreeBuds 3 | Wort,"['€899,99', '€1049,00']",https://arquivo.pt/wayback/20201223201137mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/huawei/smartphone-huawei-p40-pro-5g-6-58-8-gb-256-gb-preto-watch-fit-active-freebuds-3-7300618,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Fhuawei%2Fsmartphone-huawei-p40-pro-5g-6-58-8-gb-256-gb-preto-watch-fit-active-freebuds-3-7300618%2F20201223201137,"Smartphone <em>HUAWEI</em> <em>P40</em> Pro 5G (6.58'' - 8 GB - 256 GB - Preto) + Watch Fit Active + FreeBuds 3<span class=""ellipsis""> ... </span> Telem&oacute;veis e Pacotes de TV Telem&oacute;veis e Smartphones Smartphones <em>Huawei</em> Smartphone <em>HUAWEI</em> <em>P40</em> Pro 5G (6.58<span class=""ellipsis""> ... </span> Acess&oacute;rio ao carrinho. Sobre Smartphone <em>HUAWEI</em> <em>P40</em> Pro 5G (6.58'' - 8 GB - 256 GB - Preto) + Watch Fit<span class=""ellipsis""> ... </span>"
www.worten.pt,20180720,Smartphone SAMSUNG Galaxy S8 64 GB Prateado | Worten.pt,"['€585,99', '€719,99']",https://arquivo.pt/wayback/20180720163714mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/telemoveis-ver-todos/smartphone-samsung-galaxy-s8-64-gb-prateado-6124177?utm_source=KuantoKustaProd&utm_medium=comparadordeprecos&utm_campaign=alwayson,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Ftelemoveis-ver-todos%2Fsmartphone-samsung-galaxy-s8-64-gb-prateado-6124177%3Futm_source%3DKuantoKustaProd%26utm_medium%3Dcomparadordeprecos%26utm_campaign%3Dalwayson%2F20180720163714,"Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em> 64 GB Prateado | Worten.pt menu PRODUTOS Grandes Eletrodom&eacute;sticos<span class=""ellipsis""> ... </span> Telem&oacute;veis e Pacotes de TV Telem&oacute;veis e Smartphones Telem&oacute;veis Ver Todos Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em> 64 GB Prateado Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em> 64 GB Prateado &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (37 avalia&ccedil;&otilde;es) -19% Smartphone<span class=""ellipsis""> ... </span>"
www.worten.pt,20180825,Smartphone SAMSUNG Galaxy S8 64 GB Preto Meia Noite | Worten.pt,"['€599,99', '€719,99']",https://arquivo.pt/wayback/20180825093450mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/smartphone-samsung-galaxy-s8-64-gb-preto-meia-noite-6124168,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Fsmartphone-samsung-galaxy-s8-64-gb-preto-meia-noite-6124168%2F20180825093450,"Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em> 64 GB Preto Meia Noite | Worten.pt menu PRODUTOS Grandes<span class=""ellipsis""> ... </span> CRIAR CONTA Telem&oacute;veis e Pacotes de TV Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em> 64 GB Preto Meia Noite Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em> 64 GB Preto Meia Noite &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (39 avalia&ccedil;&otilde;es) -17% Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S8</em><span class=""ellipsis""> ... </span>"
www.worten.pt,20180720,Smartphone SAMSUNG Galaxy S9+ 64 GB Azul | Worten.pt,"['€969,99']",https://arquivo.pt/wayback/20180720163652mp_/https://www.worten.pt/telemoveis-e-pacotes-tv/telemoveis-e-smartphones/telemoveis-ver-todos/smartphone-samsung-galaxy-s9-64-gb-azul-6483809?utm_source=KuantoKustaProd&utm_medium=comparadordeprecos&utm_campaign=alwayson,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Ftelemoveis-e-pacotes-tv%2Ftelemoveis-e-smartphones%2Ftelemoveis-ver-todos%2Fsmartphone-samsung-galaxy-s9-64-gb-azul-6483809%3Futm_source%3DKuantoKustaProd%26utm_medium%3Dcomparadordeprecos%26utm_campaign%3Dalwayson%2F20180720163652,"Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S9</em>+ 64 GB Azul | Worten.pt menu PRODUTOS Grandes Eletrodom&eacute;sticos<span class=""ellipsis""> ... </span> Telem&oacute;veis e Pacotes de TV Telem&oacute;veis e Smartphones Telem&oacute;veis Ver Todos Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S9</em>+ 64 GB Azul Smartphone <em>SAMSUNG</em> <em>Galaxy</em> <em>S9</em>+ 64 GB Azul At&eacute; 500&#8364; Retoma* Oferta Smartphone <em>SAMSUNG</em> <em>Galaxy</em><span class=""ellipsis""> ... </span>"
