site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 6 16GB Cinzento sideral,"['€179,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 8 64GB Dourado,"['€579,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 6 64GB Prateado,"['€259,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 6 64GB Cinzento sideral,"['€259,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 7 128GB Prateado,"['€449,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone SE 16GB Rosa Dourado,"['€199,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 6 64GB Dourado,"['€259,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 7 32GB Preto,"['€379,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 6s 32GB Cinzento sideral,"['€289,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
www.worten.pt,20181123,Recondicionado - Smartphone iPhone 6s 16GB Rosa Dourado,"['€249,99']",https://arquivo.pt/wayback/20181123184438mp_/https://www.worten.pt/outlet,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.worten.pt%2Foutlet%2F20181123184438," Seminovo | Sem acess&oacute;rios inclu&iacute;dos &#8364; 179, 99 Favoritos Comparar Recondicionado - Smartphone <em>iPhone</em> <em>8</em> 64GB<span class=""ellipsis""> ... </span> e Blu-Ray <em>Apple</em> TV e Box Smart TV Antenas e Emissores TDT AUTO Sistemas de Navega&ccedil;&atilde;o GPS<span class=""ellipsis""> ... </span> TELEM&Oacute;VEIS E SMARTPHONES Samsung <em>iPhone</em> Huawei Xiaomi Asus LG Nokia Alcatel Sony Telem&oacute;veis NOS Telem&oacute;veis<span class=""ellipsis""> ... </span>"
