site,date,title,extractedData,linkToArchive,linkToExtractedText
www.fnac.pt,20170819,Huawei P8 Lite 2017 - Black,"['219,99\xa0€', '259,99\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite (Black),"['179,99\xa0€', '229,99\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite (Gold),"['179,99\xa0€', '229,99\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite 2017 - Gold,"['219,99\xa0€', '259,99\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite (White),"['179,99\xa0€', '229,99\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite 2017 - White,"['219,99\xa0€', '259,99\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite 16GB 4G Preto,"['169,90\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Smartphone Huawei P8 Lite Dual Sim 2GB 16GB Dourado,"['179,30\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite 16GB 4G Branco,"['169,93\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
www.fnac.pt,20170819,Huawei P8 Lite 2017 Dual SIM 4G 16GB Azul,"['286,68\xa0€']",https://arquivo.pt/wayback/20170819112525mp_/https://www.fnac.pt/Smartphones-e-Telemoveis/Smartphones-Huawei/Huawei-P8-Lite/n610769?SFilt=34117!23,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.fnac.pt%2FSmartphones-e-Telemoveis%2FSmartphones-Huawei%2FHuawei-P8-Lite%2Fn610769%3FSFilt%3D34117%2123%2F20170819112525
